skill,sub_skill,level,prompt_text,options,correct_answer,explanation
WRITING,GRAMMAR,BEGINNER,"Complete the sentence: 'Last night, we ___ to the cinema.'","{""A"": ""goed"", ""B"": ""went"", ""C"": ""gone"", ""D"": ""go""}","""B""","Go' is an irregular verb, so its past form is 'went'. 'Goed' wrongly applies the regular -ed rule, and 'gone' needs a helping verb like 'have'."
WRITING,GRAMMAR,BEGINNER,Which word completes the sentence: 'I ___ a student.'?,"{""A"": ""am"", ""B"": ""is"", ""C"": ""are"", ""D"": ""be""}","""A""","The verb 'to be' changes with the subject, and 'I' always takes 'am'. 'Be' is the base form and cannot stand alone here."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'They ___ my best friends.',"{""A"": ""is"", ""B"": ""am"", ""C"": ""be"", ""D"": ""are""}","""D""","They' is plural, so it takes 'are'. 'Is' is only for singular subjects like he, she, or it."
WRITING,GRAMMAR,BEGINNER,Choose the correct word: 'She ___ at home yesterday.',"{""A"": ""were"", ""B"": ""is"", ""C"": ""was"", ""D"": ""be""}","""C""","Yesterday' needs a past form, and the singular subject 'she' takes 'was'. 'Were' is the tempting distractor but it belongs with you, we, and they."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'The children ___ tired after school.',"{""A"": ""was"", ""B"": ""were"", ""C"": ""is"", ""D"": ""been""}","""B""","Children' is plural, so the past form 'were' is correct. 'Was' is the common error because students forget 'children' is already plural."
WRITING,GRAMMAR,BEGINNER,Which word starts this question correctly: '___ you like tea?',"{""A"": ""Do"", ""B"": ""Does"", ""C"": ""Is"", ""D"": ""Are""}","""A""","Present simple questions with 'you' begin with 'Do'. 'Does' is only for he, she, and it, and 'is/are' are for the verb 'to be', not 'like'."
WRITING,GRAMMAR,BEGINNER,Which word starts this question correctly: '___ she work in a bank?',"{""A"": ""Do"", ""B"": ""Is"", ""C"": ""Does"", ""D"": ""Are""}","""C""","With the third-person subject 'she', present simple questions use 'Does'. Note that the main verb stays as 'work', not 'works', because 'does' already carries the -s."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ they visit you last week?',"{""A"": ""Do"", ""B"": ""Does"", ""C"": ""Have"", ""D"": ""Did""}","""D""","Last week' places the question in the past, so it needs 'Did'. After 'did', the main verb returns to its base form 'visit'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Birds ___ fly.',"{""A"": ""cans"", ""B"": ""can"", ""C"": ""can to"", ""D"": ""is""}","""B""",Can' is a modal verb: it never takes -s and is never followed by 'to'. 'Cans' and 'can to' are typical learner errors with modals.
WRITING,GRAMMAR,BEGINNER,Complete the question: 'How ___ books do you have?',"{""A"": ""many"", ""B"": ""much"", ""C"": ""some"", ""D"": ""any""}","""A""","Books' is a countable noun, so we ask 'how many'. 'How much' is the tempting error, but it is only for uncountable nouns like water or money."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'There isn't ___ milk in the fridge.',"{""A"": ""many"", ""B"": ""a"", ""C"": ""some"", ""D"": ""much""}","""D""","Milk' is uncountable, so negative sentences use 'much'. 'Many' only works with countable nouns like bottles or cups."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'I have ___ apples in my bag.',"{""A"": ""any"", ""B"": ""some"", ""C"": ""much"", ""D"": ""a""}","""B""","Positive sentences use 'some' with plural nouns. 'Any' is the tempting distractor, but it is normally used in questions and negatives."
WRITING,GRAMMAR,BEGINNER,Complete the question: 'Do you have ___ questions?',"{""A"": ""some"", ""B"": ""a"", ""C"": ""any"", ""D"": ""much""}","""C""","Questions normally use 'any' with plural nouns, so 'any questions' is correct. 'Some' is mostly for positive statements and offers."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'I saw Maria yesterday and spoke to ___.',"{""A"": ""her"", ""B"": ""she"", ""C"": ""hers"", ""D"": ""he""}","""A""",After a preposition like 'to' we need the object pronoun 'her'. 'She' is a subject pronoun and cannot follow 'to'.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'My parents are here. Can you help ___?',"{""A"": ""they"", ""B"": ""their"", ""C"": ""theirs"", ""D"": ""them""}","""D""","The verb 'help' needs an object pronoun, which for 'my parents' is 'them'. 'They' is the subject form and 'their' must be followed by a noun."
WRITING,GRAMMAR,BEGINNER,Which is the correct way to show that the car belongs to John?,"{""A"": ""Johns car"", ""B"": ""John's car"", ""C"": ""John him car"", ""D"": ""car of the John""}","""B""",English shows possession with apostrophe + s: 'John's car'. Writing 'Johns' without the apostrophe is the most common spelling error here.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: '___ book in my hand is very interesting.',"{""A"": ""This"", ""B"": ""These"", ""C"": ""Those"", ""D"": ""They""}","""A""","Book' is singular and 'in my hand' means it is near the speaker, so 'this' is correct. 'These' and 'those' are only for plural nouns."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Can you see ___ birds far away in the sky?',"{""A"": ""this"", ""B"": ""those"", ""C"": ""that"", ""D"": ""them birds""}","""B""","Birds' is plural and 'far away' signals distance, so 'those' is correct. 'That' matches the distance but is singular."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'My birthday is ___ July.'?,"{""A"": ""on"", ""B"": ""at"", ""C"": ""by"", ""D"": ""in""}","""D""","Months take the preposition 'in' ('in July', 'in December'). 'On' is the tempting choice but it is used for specific days and dates."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'The class starts ___ 9 o'clock.'?,"{""A"": ""at"", ""B"": ""in"", ""C"": ""on"", ""D"": ""for""}","""A""","Clock times take 'at' ('at 9 o'clock', 'at noon'). 'In' is for longer periods like months and years, and 'on' is for days."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'We play cricket ___ Sundays.'?,"{""A"": ""in"", ""B"": ""at"", ""C"": ""on"", ""D"": ""from""}","""C""","Days of the week take 'on' ('on Sundays', 'on Monday'). 'In' and 'at' are the usual confusions, but they are for months and clock times."
WRITING,GRAMMAR,BEGINNER,Choose the sentence with the adverb in the correct position:,"{""A"": ""He drinks always coffee in the morning."", ""B"": ""He always drinks coffee in the morning."", ""C"": ""Always he drinks coffee in morning."", ""D"": ""He drinks coffee in the always morning.""}","""B""","Frequency adverbs like 'always' go before the main verb: 'He always drinks'. Placing it after the verb, as in option A, is a very common learner error."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Mount Everest is the ___ mountain in the world.',"{""A"": ""higher"", ""B"": ""high"", ""C"": ""highest"", ""D"": ""most high""}","""C""",Comparing one thing against all others needs the superlative 'the highest'. 'Higher' is a comparative and would need 'than'.
WRITING,GRAMMAR,BEGINNER,Choose the correct comparative: 'This phone is ___ than that one.',"{""A"": ""more expensive"", ""B"": ""expensiver"", ""C"": ""most expensive"", ""D"": ""expensive""}","""A""","Long adjectives like 'expensive' form the comparative with 'more', not -er. 'Expensiver' wrongly applies the short-adjective rule."
WRITING,GRAMMAR,BEGINNER,What is the correct plural of 'box'?,"{""A"": ""boxs"", ""B"": ""boxen"", ""C"": ""boxies"", ""D"": ""boxes""}","""D""","Nouns ending in -x add -es in the plural, giving 'boxes'. 'Boxs' misses the extra 'e' that makes the word pronounceable."
WRITING,GRAMMAR,BEGINNER,What is the correct plural of 'foot'?,"{""A"": ""foots"", ""B"": ""feet"", ""C"": ""feets"", ""D"": ""foot""}","""B""",Foot' has the irregular plural 'feet' with a vowel change. 'Foots' and 'feets' both wrongly add -s to this irregular noun.
WRITING,GRAMMAR,BEGINNER,Complete the text: 'I bought a shirt and a hat. ___ shirt is blue.',"{""A"": ""A"", ""B"": ""The"", ""C"": ""An"", ""D"": ""Some""}","""B""","When something is mentioned a second time, we switch from 'a' to 'the' because the reader now knows which shirt we mean. Repeating 'a' would sound like a different, new shirt."
WRITING,GRAMMAR,BEGINNER,"Complete the sentence: 'It ___ raining now, so we can go outside.'","{""A"": ""doesn't"", ""B"": ""not"", ""C"": ""isn't"", ""D"": ""aren't""}","""C""","The present continuous negative is 'is not (isn't) raining'. 'Doesn't' is the frequent error, but it belongs to the present simple, not to -ing forms."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Look at those dark clouds! It ___ rain.',"{""A"": ""will to"", ""B"": ""going"", ""C"": ""goes"", ""D"": ""is going to""}","""D""","A prediction based on present evidence (the dark clouds) uses 'is going to'. 'Going' alone is missing the verb 'be', and 'will' never takes 'to'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'I think she ___ pass the exam.',"{""A"": ""wills"", ""B"": ""will"", ""C"": ""is"", ""D"": ""going""}","""B""","Will' expresses a future prediction and, as a modal, never takes -s even with 'she'. 'Wills' is the classic error of treating a modal like a normal verb."
WRITING,GRAMMAR,BEGINNER,Complete the warning: '___ touch the hot pan!',"{""A"": ""Don't"", ""B"": ""Not"", ""C"": ""Doesn't"", ""D"": ""No""}","""A""",Negative commands (imperatives) start with 'Don't' + base verb. 'Not' and 'No' cannot stand before a verb on their own in a command.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'My brother ___ a new bicycle.',"{""A"": ""have"", ""B"": ""haves"", ""C"": ""has"", ""D"": ""is""}","""C""",The third-person singular of 'have' is the irregular form 'has'. 'Haves' wrongly applies the normal -s rule to an irregular verb.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'We ___ two dogs at home.',"{""A"": ""has"", ""B"": ""have"", ""C"": ""is"", ""D"": ""are""}","""B""","We' takes the base form 'have'; 'has' is only for he, she, and it. 'Are' would need a different structure like 'there are'."
WRITING,GRAMMAR,BEGINNER,"Complete the polite request: 'I ___ like a cup of tea, please.'","{""A"": ""will"", ""B"": ""should"", ""C"": ""can"", ""D"": ""would""}","""D""","The polite fixed expression is 'I would like' (I'd like). 'I will like' is the common error, but 'will' talks about the future, not a polite request."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He ___ TV every evening.',"{""A"": ""watches"", ""B"": ""watchs"", ""C"": ""watch"", ""D"": ""watching""}","""A""","Verbs ending in -ch add -es for he/she/it, giving 'watches'. 'Watchs' misses the required 'e', which is a spelling error, not just grammar."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'They are ___ in the pool right now.',"{""A"": ""swiming"", ""B"": ""swims"", ""C"": ""swimming"", ""D"": ""swum""}","""C""",Short verbs ending consonant-vowel-consonant double the final letter before -ing: 'swimming'. 'Swiming' with one 'm' is the classic spelling trap.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She ___ breakfast at 8 o'clock this morning.',"{""A"": ""eat"", ""B"": ""ate"", ""C"": ""eaten"", ""D"": ""eats""}","""B""","This morning' with a finished action needs the past simple, and the irregular past of 'eat' is 'ate'. 'Eaten' is the participle and needs 'has' or 'had'."
WRITING,GRAMMAR,BEGINNER,Choose the question word: '___ do you live?' — 'I live in Kochi.',"{""A"": ""What"", ""B"": ""When"", ""C"": ""Who"", ""D"": ""Where""}","""D""","The answer names a place, so the question word must be 'Where'. 'When' asks about time and 'who' asks about a person."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ students are there in your class?',"{""A"": ""How many"", ""B"": ""How much"", ""C"": ""How long"", ""D"": ""What many""}","""A""","Students' is a countable plural noun, so we ask 'How many'. 'How much' is the usual confusion, but it is reserved for uncountable nouns."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: '___ many people at the party last night.',"{""A"": ""There was"", ""B"": ""There is"", ""C"": ""There were"", ""D"": ""There are""}","""C""","Last night' needs a past form and 'many people' is plural, so 'There were' is correct. 'There was' fails the plural test even though it is past."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'The dog wagged ___ tail happily.',"{""A"": ""it's"", ""B"": ""his"", ""C"": ""its"", ""D"": ""their's""}","""C""","The possessive of 'it' is 'its' with no apostrophe. 'It's' is the classic trap, but it always means 'it is'."
WRITING,GRAMMAR,BEGINNER,Complete the text: 'Tom and Anna are here. ___ are my cousins.',"{""A"": ""They"", ""B"": ""Them"", ""C"": ""Their"", ""D"": ""It""}","""A""",Two people together are replaced by the subject pronoun 'they'. 'Them' is the object form and cannot start the sentence as the subject.
WRITING,GRAMMAR,BEGINNER,Which article completes the sentence: 'He is ___ doctor.'?,"{""A"": ""an"", ""B"": ""a"", ""C"": ""the"", ""D"": ""no article""}","""B""","Doctor' begins with a consonant sound, so it takes 'a'. Jobs in English need an article, so leaving it out is also wrong."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She ___ a letter to her friend yesterday.',"{""A"": ""writed"", ""B"": ""write"", ""C"": ""written"", ""D"": ""wrote""}","""D""","Write' is irregular, so its past form is 'wrote'. 'Writed' wrongly applies the -ed rule, and 'written' needs a helping verb like 'has'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He ___ a new phone last week.',"{""A"": ""bought"", ""B"": ""buyed"", ""C"": ""buy"", ""D"": ""buying""}","""A""",The irregular past of 'buy' is 'bought'. 'Buyed' is the typical error of treating an irregular verb as regular.
WRITING,GRAMMAR,BEGINNER,Choose the correct negative: 'They ___ go to school yesterday.',"{""A"": ""don't"", ""B"": ""doesn't"", ""C"": ""didn't"", ""D"": ""not""}","""C""","Yesterday' needs the past negative 'didn't', and after it the verb returns to the base form 'go'. 'Don't' and 'doesn't' are present forms."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'I ___ tea every morning.',"{""A"": ""drinks"", ""B"": ""drink"", ""C"": ""drinking"", ""D"": ""drank""}","""B""","With 'I' in the present simple, the verb stays in its base form 'drink'. 'Drinks' is the common error of copying the he/she form."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'Water ___ very important for our health.',"{""A"": ""are"", ""B"": ""be"", ""C"": ""were"", ""D"": ""is""}","""D""","Water' is an uncountable noun and takes a singular verb, so 'is' is correct. 'Are' is the tempting choice because water feels like 'a lot'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She sings very ___.',"{""A"": ""beautifully"", ""B"": ""beautiful"", ""C"": ""beauty"", ""D"": ""more beautiful""}","""A""","A word describing how an action is done must be an adverb, so 'beautifully' is correct. 'Beautiful' is an adjective and can only describe a noun."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He is a very ___ driver.',"{""A"": ""carefully"", ""B"": ""care"", ""C"": ""careful"", ""D"": ""carefuly""}","""C""","Before a noun like 'driver' we need the adjective 'careful'. 'Carefully' is an adverb and describes a verb, not a person."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'The tea is ___ hot to drink.',"{""A"": ""very"", ""B"": ""too"", ""C"": ""so much"", ""D"": ""much""}","""B""","The pattern 'too + adjective + to' shows something is not possible: too hot to drink. 'Very hot to drink' is the common error, but 'very' cannot be followed by 'to'."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'She lives ___ India.'?,"{""A"": ""at"", ""B"": ""on"", ""C"": ""to"", ""D"": ""in""}","""D""","Countries and cities take 'in' ('in India', 'in Kochi'). 'At' is for small, exact points like a bus stop or a door."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'He is waiting ___ the bus stop.'?,"{""A"": ""at"", ""B"": ""in"", ""C"": ""on"", ""D"": ""to""}","""A""","A bus stop is an exact point, so it takes 'at'. 'In' would suggest being inside something, which a bus stop is not."
WRITING,GRAMMAR,BEGINNER,Which preposition completes the sentence: 'We go ___ the market every Saturday.'?,"{""A"": ""at"", ""B"": ""in"", ""C"": ""to"", ""D"": ""on""}","""C""","Movement towards a place uses 'to' after verbs like 'go'. 'At' and 'in' describe position, not movement."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'The bank is ___ the school and the post office.',"{""A"": ""next"", ""B"": ""between"", ""C"": ""among"", ""D"": ""in middle""}","""B""","For a position with one thing on each side, we use 'between... and...'. 'Next' needs 'to', and 'among' is for three or more things."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'The cat is hiding ___ the bed.',"{""A"": ""on"", ""B"": ""in"", ""C"": ""above"", ""D"": ""under""}","""D""","A cat hiding below the bed is 'under' it. 'In the bed' would mean inside the blankets, and 'above' means higher than, without touching."
WRITING,GRAMMAR,BEGINNER,"Complete the sentence: 'I like tea, ___ I don't like coffee.'","{""A"": ""but"", ""B"": ""and"", ""C"": ""so"", ""D"": ""because""}","""A""","The two ideas contrast with each other, so 'but' is the right connector. 'And' simply adds information and does not show contrast."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She stayed at home ___ she was sick.',"{""A"": ""but"", ""B"": ""so"", ""C"": ""because"", ""D"": ""or""}","""C""","She was sick' is the reason for staying home, so 'because' is correct. 'So' is the trap — it introduces a result, not a reason."
WRITING,GRAMMAR,BEGINNER,Complete the question: 'Do you want tea ___ coffee?',"{""A"": ""and"", ""B"": ""or"", ""C"": ""but"", ""D"": ""so""}","""B""","Offering a choice between two things uses 'or'. 'And' would mean the person gets both drinks, not a choice."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ bag is this?' — 'It's Maria's.',"{""A"": ""Who"", ""B"": ""What"", ""C"": ""Which"", ""D"": ""Whose""}","""D""","The answer names an owner, so the question word must be 'Whose', which asks about possession. 'Who' asks about a person doing something, not owning something."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ is your English teacher?' — 'Mr. Abraham.',"{""A"": ""Who"", ""B"": ""Whose"", ""C"": ""Which colour"", ""D"": ""What time""}","""A""","The answer is a person's name, so the question word is 'Who'. 'Whose' would ask about an owner, not identity."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ is your birthday?' — 'In May.',"{""A"": ""Where"", ""B"": ""What"", ""C"": ""When"", ""D"": ""Who""}","""C""","The answer 'In May' is a time, so the question word must be 'When'. 'Where' asks about a place."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'This pen is ___.',"{""A"": ""my"", ""B"": ""mine"", ""C"": ""me"", ""D"": ""I""}","""B""","At the end of a sentence with no noun after it, we use the possessive pronoun 'mine'. 'My' is the trap — it always needs a noun, as in 'my pen'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'This is ___ classroom.',"{""A"": ""ours"", ""B"": ""us"", ""C"": ""we"", ""D"": ""our""}","""D""",Before a noun like 'classroom' we need the possessive adjective 'our'. 'Ours' stands alone and cannot come directly before a noun.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He ___ eats meat; he is a vegetarian.',"{""A"": ""never"", ""B"": ""no"", ""C"": ""not"", ""D"": ""none""}","""A""",The frequency adverb 'never' fits before the verb and already makes the meaning negative. 'No' and 'not' cannot sit alone before 'eats' in this pattern.
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ do you go to the gym?' — 'Twice a week.',"{""A"": ""How much"", ""B"": ""How long"", ""C"": ""How often"", ""D"": ""What often""}","""C""","The answer 'twice a week' is a frequency, so the question is 'How often'. 'How long' asks about duration, like 'two hours'."
WRITING,GRAMMAR,BEGINNER,"Complete the question: '___ you swim?' — 'Yes, I learned last year.'","{""A"": ""Do"", ""B"": ""Can"", ""C"": ""Are"", ""D"": ""Is""}","""B""","Asking about ability uses 'Can you...?'. 'Do you swim?' is grammatical but asks about habit, and the answer about learning shows the question is about ability."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She ___ drive; she doesn't have a licence.',"{""A"": ""don't"", ""B"": ""isn't"", ""C"": ""not can"", ""D"": ""can't""}","""D""","The negative of the ability modal is 'can't' (cannot). 'Not can' reverses the correct word order, a typical learner error."
WRITING,GRAMMAR,BEGINNER,Complete the rule: 'You ___ wear a helmet when you ride a bike.',"{""A"": ""must"", ""B"": ""musts"", ""C"": ""have"", ""D"": ""can to""}","""A""",Strong obligation uses the modal 'must' + base verb. 'Have' alone is incomplete — it would need 'to' ('have to wear').
WRITING,GRAMMAR,BEGINNER,Complete the advice: 'You look tired. You ___ sleep early tonight.',"{""A"": ""would"", ""B"": ""must not"", ""C"": ""should"", ""D"": ""shall to""}","""C""",Giving advice uses 'should' + base verb. 'Must not' is the opposite meaning — it forbids something instead of recommending it.
WRITING,GRAMMAR,BEGINNER,Complete the suggestion: '___ go to the beach this weekend!',"{""A"": ""Let"", ""B"": ""Let's"", ""C"": ""We let"", ""D"": ""Lets we""}","""B""","Suggestions that include the speaker start with 'Let's' (let us) + base verb. 'Let' alone needs an object, as in 'let him go'."
WRITING,GRAMMAR,BEGINNER,"Complete the sentence: 'I have ___ friends in this city, so I am not lonely.'","{""A"": ""a little"", ""B"": ""much"", ""C"": ""any"", ""D"": ""a few""}","""D""","Friends' is countable and the meaning is positive, so 'a few' is correct. 'A little' is the trap — it is only for uncountable nouns like time or water."
WRITING,GRAMMAR,BEGINNER,"Complete the request: 'Can I have ___ sugar in my coffee, please?'","{""A"": ""a little"", ""B"": ""a few"", ""C"": ""many"", ""D"": ""lots""}","""A""","Sugar' is uncountable, so a small amount is 'a little'. 'A few' only works with countable plurals like spoons or cups."
WRITING,GRAMMAR,BEGINNER,Choose the correct comparative: 'Her English is ___ than mine.',"{""A"": ""gooder"", ""B"": ""more good"", ""C"": ""better"", ""D"": ""best""}","""C""","Good' is irregular: its comparative is 'better', not 'gooder' or 'more good'. 'Best' is the superlative and does not work with 'than'."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'This is the ___ restaurant in our town.',"{""A"": ""better"", ""B"": ""best"", ""C"": ""most good"", ""D"": ""goodest""}","""B""",Comparing one restaurant with all the others needs the superlative 'the best'. 'Better' only compares two things and pairs with 'than'.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He is as tall ___ his father.',"{""A"": ""than"", ""B"": ""like"", ""C"": ""so"", ""D"": ""as""}","""D""",Saying two things are equal uses the pattern 'as + adjective + as'. 'Than' is the trap because it belongs to comparatives like 'taller than'.
WRITING,GRAMMAR,BEGINNER,What is the correct plural of 'baby'?,"{""A"": ""babies"", ""B"": ""babys"", ""C"": ""babyes"", ""D"": ""baby""}","""A""",Nouns ending in consonant + y change the y to -ies: 'babies'. 'Babys' misses this spelling rule and is the most frequent error.
WRITING,GRAMMAR,BEGINNER,What is the correct plural of 'sheep'?,"{""A"": ""sheeps"", ""B"": ""sheepes"", ""C"": ""sheep"", ""D"": ""sheepen""}","""C""",Sheep' is one of the few nouns whose plural is the same as its singular. 'Sheeps' is the natural but incorrect guess.
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ you listening to me right now?',"{""A"": ""Is"", ""B"": ""Are"", ""C"": ""Do"", ""D"": ""Does""}","""B""","Present continuous questions use 'be' + subject + -ing, and 'you' takes 'Are'. 'Do' is the trap — it belongs to present simple questions without -ing."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'He ___ football every Sunday.',"{""A"": ""is playing"", ""B"": ""play"", ""C"": ""playing"", ""D"": ""plays""}","""D""","Every Sunday' describes a repeated habit, so the present simple 'plays' is needed. 'Is playing' is the trap — it describes an action happening right now."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ does the movie start?' — 'At 7 pm.',"{""A"": ""What time"", ""B"": ""How time"", ""C"": ""What hour is"", ""D"": ""When time""}","""A""",Asking for a clock time uses 'What time'. 'How time' and 'When time' mix up two different question patterns.
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ are you late?' — 'Because the bus didn't come.',"{""A"": ""What"", ""B"": ""When"", ""C"": ""Why"", ""D"": ""Where""}","""C""","The answer starts with 'because', which gives a reason, so the question word must be 'Why'. 'When' would be answered with a time."
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'We ___ ready yet. Please wait five minutes.',"{""A"": ""isn't"", ""B"": ""aren't"", ""C"": ""don't"", ""D"": ""not""}","""B""","We' takes 'are', so its negative is 'aren't'. 'Don't' is the trap — it negates action verbs, but 'ready' is an adjective and needs 'be'."
WRITING,GRAMMAR,BEGINNER,"Complete the sentence: 'The shop ___ open yesterday, so I couldn't buy milk.'","{""A"": ""weren't"", ""B"": ""isn't"", ""C"": ""didn't"", ""D"": ""wasn't""}","""D""","The shop' is singular and 'yesterday' is past, so 'wasn't' is correct. 'Didn't' cannot be used here because 'open' is an adjective, not an action verb."
WRITING,GRAMMAR,BEGINNER,Complete the question: '___ are you?' — 'I'm twelve.',"{""A"": ""How old"", ""B"": ""How age"", ""C"": ""What old"", ""D"": ""How many old""}","""A""",Asking about age uses the fixed question 'How old are you?'. 'What old' and 'How age' mix the pattern up in ways learners often do.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'I want ___ English very well.',"{""A"": ""learn"", ""B"": ""learning"", ""C"": ""to learn"", ""D"": ""learned""}","""C""",Want' is always followed by to + base verb: 'want to learn'. 'Want learning' is the common error of using -ing after the wrong verb.
WRITING,GRAMMAR,BEGINNER,Complete the sentence: 'She enjoys ___ books in the evening.',"{""A"": ""read"", ""B"": ""reading"", ""C"": ""to reading"", ""D"": ""reads""}","""B""",Enjoy' is always followed by the -ing form: 'enjoys reading'. 'To reading' wrongly mixes the to-pattern with the -ing pattern.
